#{"t_start": 1744592436.020156, "env_id": "None"}
r,l,t
-227.716583,200,318.845603
-233.630122,200,319.13568
-227.789414,200,319.420105
-198.041534,200,319.705847
-222.869327,200,319.986488
-203.615195,200,320.312875
-234.371943,200,320.611452
-201.699565,200,320.930405
-232.944626,200,321.227717
-202.919914,200,321.542877
-227.847768,200,321.86755
-183.956352,200,322.165252
-185.21232,200,322.474183
-193.711599,200,322.783635
-206.826034,200,323.066759
-185.010606,200,323.355758
-184.585687,200,323.922024
-199.030491,200,324.771641
-183.899504,200,325.491163
-190.598181,200,326.038498
-200.286782,200,326.642469
-198.633978,200,327.257165
-229.632541,200,327.852958
-209.210237,200,328.526883
-203.963956,200,329.493158
-191.984088,200,330.335401
-220.747598,200,331.245605
-225.272643,200,331.554156
-206.7615,200,331.847447
-191.789112,200,332.210337
-210.553301,200,332.521569
-234.739413,200,332.841481
-222.08599,200,333.125203
-237.887563,200,333.417356
-206.243911,200,333.695567
-220.438051,200,333.976017
-207.649514,200,334.253205
-217.477078,200,334.560094
-217.857137,200,334.830158
-230.695922,200,335.10942
-229.955558,200,335.381872
-203.305087,200,335.662209
-233.771077,200,335.982164
-238.715259,200,336.305002
-231.047416,200,336.635034
-223.991408,200,336.976843
-211.253382,200,337.295148
-248.740156,200,337.652741
-205.432626,200,337.973901
-234.461435,200,338.295215
-200.586311,200,338.653561
-161.056339,200,338.972948
-218.878527,200,339.284832
-172.476126,200,339.617604
-160.937464,200,339.946211
-207.002149,200,340.243281
-216.442127,200,340.546727
-183.592268,200,340.879644
-203.188459,200,341.218614
-192.723042,200,341.559831
-219.739211,200,341.921157
-182.003259,200,342.278749
-196.251518,200,342.588364
-208.414234,200,342.941561
-250.080323,200,343.238571
-196.61477,200,343.567077
-238.544866,200,343.893134
-246.329124,200,344.278271
-210.980357,200,344.611428
-235.629336,200,344.961757
-233.476459,200,345.336975
-211.184066,200,345.7241
-232.626159,200,346.186361
-233.333353,200,346.50809
-254.047904,200,346.786354
-230.342682,200,347.080196
-248.08977,200,347.367081
-239.730971,200,347.78551
-228.800882,200,348.14996
-218.835904,200,348.536879
-234.673667,200,348.915175
-217.808585,200,349.248534
-252.545823,200,349.547688
-210.474165,200,349.966123
-230.834882,200,350.329064
-226.941865,200,350.63068
-238.709189,200,350.91738
-242.407424,200,351.213158
-210.656137,200,351.499831
-188.238208,200,351.795605
-241.46974,200,352.094693
-230.528496,200,352.395139
-186.904526,200,352.669059
-180.277653,200,352.978785
-152.111436,200,353.339681
-205.62285,200,353.838396
-178.190224,200,354.18737
-169.032463,200,354.525267
-175.492075,200,354.816556
-181.80867,200,355.383673
-214.418949,200,355.714046
-173.571122,200,356.028129
-185.312006,200,356.336629
-185.425486,200,356.66372
-205.596347,200,356.981482
-191.655854,200,357.328518
-157.894701,200,357.635311
-192.53433,200,357.978656
-204.93557,200,358.301277
-236.513047,200,358.647815
-209.21367,200,358.980469
-240.227315,200,359.304324
-248.612681,200,359.62398
