#{"t_start": 1744587659.6995637, "env_id": "None"}
r,l,t
-196.471871,200,2364.232866
-86.403631,200,2366.706764
-105.31914,200,2369.397007
-77.741789,200,2372.2921
-111.348364,200,2375.048713
-107.637083,200,2377.734985
-106.036782,200,2380.452182
-101.127456,200,2383.14558
-108.788895,200,2385.900378
-100.470852,200,2388.734243
-105.415327,200,2391.673717
-122.303662,200,2394.561577
-140.464708,200,2397.435613
-114.68303,200,2400.290853
-94.0587,200,2403.140956
-114.279528,200,2406.035023
-104.197255,200,2408.860584
-121.524386,200,2411.895336
-114.585146,200,2415.580657
-122.148827,200,2419.277941
-133.502439,200,2422.939537
-127.155296,200,2426.066319
-113.629144,200,2428.804368
-143.94198,200,2431.629489
-151.047461,200,2434.281505
-117.193405,200,2437.18391
-122.763838,200,2439.905795
-113.767736,200,2442.620918
-153.901568,200,2445.322671
-112.979716,200,2448.032104
-111.043941,200,2450.688466
-89.611824,200,2453.404017
-116.095953,200,2456.105221
-99.725514,200,2458.784715
-106.555698,200,2461.368939
-103.692782,200,2464.008595
-93.57358,200,2466.65099
-99.447467,200,2469.454214
-124.108822,200,2472.302338
-175.394749,200,2475.413879
-181.588389,200,2478.490956
-168.233479,200,2481.71591
-174.94989,200,2484.326003
-160.095759,200,2486.980819
-159.896037,200,2489.698102
-145.890988,200,2492.530659
-165.368404,200,2495.769612
-148.391488,200,2498.916666
-144.11618,200,2502.037861
-149.06669,200,2505.174718
-136.828795,200,2508.34342
-112.458929,200,2511.533022
-142.608951,200,2514.687304
-156.164648,200,2517.814013
-127.293511,200,2520.663063
-114.993518,200,2523.47857
-114.642837,200,2526.308274
-158.975082,200,2529.17225
-152.779982,200,2531.995155
-174.705204,200,2534.839047
-125.962662,200,2537.784931
-119.435679,200,2540.712068
-153.770635,200,2543.494701
-134.114539,200,2546.212787
-138.828408,200,2548.992515
-109.773491,200,2551.812659
-151.424092,200,2554.57143
-183.882643,200,2557.323149
-182.562697,200,2560.072229
-173.801428,200,2562.813808
-180.105048,200,2565.569969
-150.890674,200,2568.310383
-183.327386,200,2571.070105
-161.812704,200,2573.78356
-153.033785,200,2576.506762
-174.679786,200,2579.299182
-174.953976,200,2582.036101
-178.788485,200,2584.746289
-147.372003,200,2587.476983
-138.835183,200,2590.220245
-154.135239,200,2593.000081
-152.963481,200,2595.7192
-157.248472,200,2598.496536
-136.229559,200,2601.416281
-183.046747,200,2604.32366
-167.035552,200,2607.18039
-181.060946,200,2609.935035
-157.624194,200,2612.685191
-148.420119,200,2615.445794
-157.988391,200,2618.223974
-127.567859,200,2621.011516
-125.418198,200,2623.760641
-170.962243,200,2626.53052
-200.945545,200,2629.302825
-181.913663,200,2632.030835
